PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=729 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=722 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=732 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=741 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=734 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=725 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=730 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=733 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=749 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=732 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=751 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=822 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=825 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=893 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=906 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=913 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=912 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=914 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=997 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=1053 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=1054 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=1038 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=980 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=978 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=980 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=999 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=983 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=1076 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=1060 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=1082 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=1092 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=1101 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=1164 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=1157 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=1124 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=1114 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=1052 ms
